iter	Logloss
0	0.6749613971
1	0.6560950394
2	0.6380358332
3	0.620479498
4	0.6054240302
5	0.5910816809
6	0.5759772305
7	0.5627926104
8	0.5511314456
9	0.5395500595
10	0.5284412046
11	0.5172321288
12	0.5091017413
13	0.5001794309
14	0.492734764
15	0.4844059674
16	0.4759033325
17	0.4676663543
18	0.4600816053
19	0.4523975439
20	0.4460133802
21	0.439387346
22	0.434764348
23	0.4300681027
24	0.423940457
25	0.4176789531
26	0.4118124311
27	0.4069225069
28	0.4014102376
29	0.3953200469
30	0.3899872925
31	0.3850103561
32	0.3802279378
33	0.3761310086
34	0.3720776104
35	0.3685830154
36	0.3645560285
37	0.3614238201
38	0.3571094458
39	0.3529694024
40	0.3488227064
41	0.3455022321
42	0.3418116799
43	0.3392661021
44	0.3362681754
45	0.3339385744
46	0.3305838703
47	0.3280201993
48	0.3251811476
49	0.3225062008
50	0.319949299
51	0.317475316
52	0.314855583
53	0.3124967996
54	0.3105023953
55	0.3082974451
56	0.3062927318
57	0.3043660673
58	0.3024375904
59	0.3004400771
60	0.2988870579
61	0.2974881348
62	0.2949163351
63	0.293412127
64	0.2921086926
65	0.2904869256
66	0.288635206
67	0.2867583301
68	0.2847022123
69	0.2828945101
70	0.2811119815
71	0.2787268558
72	0.2770540539
73	0.2756527629
74	0.2738285042
75	0.2723779039
76	0.2710907884
77	0.2700592402
78	0.2687944857
79	0.2680361725
80	0.2670760182
81	0.2659861847
82	0.2646437946
83	0.2638544263
84	0.2623367533
85	0.2610260125
86	0.2597065027
87	0.258102032
88	0.2566359283
89	0.2555803803
90	0.2540339902
91	0.2532186811
92	0.2524000438
93	0.250682803
94	0.2496657926
95	0.2488997156
96	0.2478613826
97	0.2467403393
98	0.2456832327
99	0.2449376087
100	0.2439254326
101	0.242747476
102	0.2418850803
103	0.2409306949
104	0.2398791747
105	0.2388413006
106	0.2377030847
107	0.2363260005
108	0.2357354053
109	0.2348650829
110	0.2344230957
111	0.233480584
112	0.2326972451
113	0.231860439
114	0.2313676379
115	0.2304541721
116	0.2295376752
117	0.2286359632
118	0.2279460313
119	0.2269046235
120	0.225756099
121	0.2248914
122	0.2242618552
123	0.2236723834
124	0.2231120136
125	0.2223735739
126	0.2214803128
127	0.2204021662
128	0.2197609559
129	0.2189452536
130	0.2181165371
131	0.2170193271
132	0.2165381548
133	0.2161801626
134	0.215684194
135	0.2147426829
136	0.2140339025
137	0.2134583877
138	0.2126595827
139	0.2121511985
140	0.2112349394
141	0.2108234939
142	0.2103085763
143	0.2098425498
144	0.2096305119
145	0.2089137254
146	0.2084136926
147	0.2078543392
148	0.2070795803
149	0.2065893604
150	0.2057292815
151	0.2053130298
152	0.2048240964
153	0.2040788009
154	0.2035740663
155	0.2029303803
156	0.2025857707
157	0.2020433291
158	0.2016965508
159	0.2012668157
160	0.200642249
161	0.2002202469
162	0.1995478087
163	0.1990843985
164	0.1984657675
165	0.1978213359
166	0.1974142017
167	0.1967736752
168	0.1965470378
169	0.196207749
170	0.1957993681
171	0.1950060027
172	0.1943988545
173	0.1939141997
174	0.193359444
175	0.1930070055
176	0.1922483176
177	0.1917338282
178	0.1910941865
179	0.1905932338
180	0.1903150056
181	0.1898712722
182	0.1895136617
183	0.1891341189
184	0.1888144468
185	0.1884969566
186	0.1882583602
187	0.1877688054
188	0.1876120018
189	0.1874758366
190	0.1870791705
191	0.1867035251
192	0.1859759421
193	0.1858598022
194	0.1856359024
195	0.1851024372
196	0.1846989491
197	0.1843599247
198	0.1841088442
199	0.1837372982
200	0.1833240757
201	0.1830467296
202	0.1826661786
203	0.1822273392
204	0.1818990631
205	0.1815598728
206	0.1813339323
207	0.1807974516
208	0.1805709264
209	0.1801741765
210	0.1795810248
211	0.1793344752
212	0.1790351071
213	0.1787883019
214	0.1784136194
215	0.1778218858
216	0.1774034732
217	0.1770655725
218	0.1765092169
219	0.1760353199
220	0.1759456833
221	0.1755037116
222	0.1752940539
223	0.1748160407
224	0.1746240887
225	0.1741656829
226	0.173771145
227	0.1734251836
228	0.1731337405
229	0.1727242757
230	0.1723065433
231	0.1718986233
232	0.1715893527
233	0.1714060184
234	0.1712773755
235	0.1708712564
236	0.1706819286
237	0.1704454391
238	0.1702808344
239	0.1697639143
240	0.1695163789
241	0.1691427214
242	0.1689477491
243	0.1686710075
244	0.1684638946
245	0.1682697183
246	0.1678797925
247	0.167734563
248	0.1676079765
249	0.1672990757
250	0.1670690024
251	0.1667709171
252	0.1666256886
253	0.1664141951
254	0.1661383408
255	0.1656931883
256	0.1655032605
257	0.1649218312
258	0.164840827
259	0.1646367697
260	0.1643686432
261	0.1637533466
262	0.1635146309
263	0.1632883552
264	0.1629646751
265	0.1626753519
266	0.1624055511
267	0.1621007052
268	0.161716435
269	0.1615043221
270	0.1614007667
271	0.1611083662
272	0.160846767
273	0.1606704041
274	0.160336505
275	0.1601291002
276	0.1598193471
277	0.1596856405
278	0.1593788176
279	0.159082538
280	0.1586172702
281	0.1584666138
282	0.1582264526
283	0.1581245955
284	0.1577042394
285	0.1574385702
286	0.157106231
287	0.1567325335
288	0.1564181686
289	0.156062819
290	0.1557295984
291	0.1555638678
292	0.1554409643
293	0.1552625052
294	0.1550805939
295	0.1550185325
296	0.15472437
297	0.1546350271
298	0.1544423561
299	0.1541073017
300	0.1538449368
301	0.1536011653
302	0.1532891382
303	0.15318537
304	0.1528343748
305	0.1526549216
306	0.1524864787
307	0.152366999
308	0.1520619706
309	0.1519796277
310	0.1518151613
311	0.1514469192
312	0.1512608112
313	0.1511267301
314	0.1508152309
315	0.1505978827
316	0.1502522441
317	0.1501251916
318	0.149744077
319	0.1493908924
320	0.1491765967
321	0.1489595489
322	0.148602162
323	0.1482948724
324	0.1479962655
325	0.1477758822
326	0.1474096931
327	0.1472366612
328	0.1468575541
329	0.1466091207
330	0.1464259249
331	0.1462845227
332	0.1461855325
333	0.1459363307
334	0.1457644696
335	0.1455953365
336	0.1453567002
337	0.145224982
338	0.1451485436
339	0.1448805248
340	0.144798263
341	0.1446852987
342	0.1446462249
343	0.144571121
344	0.1443745664
345	0.1440511161
346	0.1439045736
347	0.1436833931
348	0.1434332785
349	0.1431988604
350	0.1430464377
351	0.1427986911
352	0.1426155712
353	0.1424854113
354	0.142167807
355	0.142035085
