iter	Passed	Remaining
0	155	155506
1	168	84065
2	180	59837
3	184	46006
4	190	37865
5	194	32281
6	198	28166
7	201	25044
8	205	22669
9	210	20792
10	214	19295
11	219	18072
12	224	17050
13	228	16090
14	232	15259
15	237	14589
16	241	13956
17	245	13375
18	249	12859
19	253	12409
20	257	11987
21	261	11610
22	264	11255
23	268	10935
24	272	10637
25	276	10364
26	280	10108
27	284	9874
28	288	9651
29	292	9447
30	296	9254
31	301	9110
32	305	8940
33	308	8777
34	312	8624
35	317	8497
36	321	8368
37	325	8236
38	329	8114
39	334	8024
40	339	7933
41	343	7829
42	347	7738
43	353	7683
44	357	7591
45	361	7499
46	367	7456
47	371	7375
48	375	7295
49	380	7230
50	385	7170
51	389	7097
52	393	7024
53	398	6989
54	403	6928
55	407	6863
56	411	6805
57	417	6777
58	421	6728
59	426	6675
60	433	6672
61	437	6622
62	441	6569
63	447	6545
64	452	6510
65	456	6461
66	461	6430
67	466	6392
68	470	6348
69	474	6302
70	480	6285
71	484	6247
72	488	6203
73	492	6163
74	496	6127
75	500	6086
76	504	6044
77	507	6004
78	511	5966
79	515	5928
80	519	5889
81	522	5853
82	526	5818
83	530	5782
84	534	5750
85	537	5717
86	541	5686
87	545	5654
88	549	5623
89	553	5593
90	557	5564
91	560	5534
92	564	5506
93	568	5484
94	572	5457
95	576	5429
96	580	5404
97	584	5379
98	588	5354
99	593	5339
100	597	5315
101	600	5290
102	605	5272
103	609	5253
104	615	5244
105	621	5238
106	626	5225
107	631	5211
108	635	5196
109	641	5192
110	646	5179
111	651	5164
112	657	5159
113	661	5144
114	665	5123
115	672	5122
116	676	5109
117	680	5089
118	686	5082
119	691	5070
120	695	5050
121	699	5032
122	705	5029
123	709	5012
124	713	4993
125	718	4987
126	723	4972
127	727	4954
128	731	4937
129	737	4933
130	741	4916
131	745	4899
132	749	4886
133	754	4877
134	758	4862
135	762	4845
136	768	4838
137	772	4823
138	776	4807
139	780	4792
140	784	4781
141	788	4766
142	792	4751
143	796	4736
144	800	4720
145	804	4705
146	808	4690
147	812	4675
148	816	4661
149	820	4648
150	824	4633
151	827	4618
152	831	4604
153	836	4596
154	841	4585
155	845	4574
156	850	4564
157	854	4551
158	858	4538
159	862	4526
160	866	4513
161	870	4500
162	874	4488
163	878	4477
164	882	4464
165	886	4452
166	890	4440
167	894	4428
168	897	4415
169	901	4402
170	905	4390
171	909	4378
172	913	4366
173	917	4356
174	921	4345
175	925	4334
176	929	4323
177	933	4312
178	937	4301
179	941	4290
180	946	4280
181	949	4269
182	954	4260
183	959	4253
184	963	4244
185	968	4236
186	972	4227
187	977	4222
188	982	4214
189	987	4209
190	993	4208
191	998	4200
192	1002	4189
193	1007	4186
194	1012	4181
195	1017	4172
196	1021	4164
197	1027	4160
198	1031	4149
199	1034	4139
200	1040	4135
201	1044	4126
202	1048	4117
203	1053	4111
204	1059	4109
205	1064	4102
206	1068	4092
207	1074	4091
208	1078	4082
209	1082	4072
210	1087	4067
211	1092	4060
212	1096	4050
213	1100	4041
214	1106	4039
215	1110	4030
216	1114	4020
217	1119	4016
218	1124	4009
219	1128	4000
220	1132	3991
221	1138	3990
222	1142	3981
223	1146	3973
