SKU ID,Date,Online_Clicks,Online_Cost,Online_Impressions
SKU1029,05-01-21,474,1678.909243,53917
SKU1054,05-08-21,1093,7198.857206,178173
SKU1056,11-05-22,1041,5606.85011,224078
SKU1019,3/20/2021,965,4189.187114,191202
SKU1021,04-09-22,860,2890.776596,212875
SKU1044,4/23/2022,965,2229.610374,199213
SKU1017,06-11-22,902,2019.666155,181299
SKU1017,7/30/2022,1056,2508.486635,183938
SKU1039,5/22/2021,1199,2867.320802,219013
SKU1042,12/24/2022,795,3840.853707,195666
SKU1029,4/16/2022,819,3449.1737,134245
SKU1033,12/24/2022,773,2452.213885,119115
SKU1058,01-02-21,905,3654.968529,133870
SKU1044,4/17/2021,604,1995.192395,152981
SKU1040,5/15/2021,391,1029.748473,164272
SKU1013,07-10-21,572,994.9643222,167733
SKU1038,7/17/2021,571,1072.514864,169022
SKU1057,12/18/2021,405,1003.843023,129991
SKU1015,2/26/2022,412,1009.483562,130767
SKU1028,4/30/2022,413,1023.18982,161883
SKU1033,06-11-22,391,1037.389503,234710
SKU1042,12-03-22,487,1839.07552,76170
SKU1045,01-02-21,724,3270.667499,131386
SKU1038,3/13/2021,561,1145.202772,82900
SKU1039,6/26/2021,523,1006.812665,89544
SKU1053,8/14/2021,591,946.4445327,129334
SKU1042,09-04-21,865,3315.311906,189362
SKU1055,3/26/2022,866,3632.672178,190011
SKU1043,06-04-22,630,2244.9682,128478
SKU1048,06-05-21,411,1122.174244,53130
SKU1029,8/21/2021,501,1464.657984,68486
SKU1025,10/23/2021,475,1449.956018,68674
SKU1017,3/19/2022,425,1007.789539,80841
SKU1050,5/14/2022,394,1074.701585,50505
SKU1056,10/15/2022,779,2290.630345,203562
SKU1017,11-05-22,795,2541.033066,196918
SKU1054,8/14/2021,520,2658.454823,101816
SKU1051,10/23/2021,506,2378.818782,92858
SKU1049,2/26/2022,503,2370.54001,120327
SKU1036,3/19/2022,563,3623.335103,184000
SKU1049,3/26/2022,550,2441.189635,175787
SKU1048,5/28/2022,976,5112.228792,310850
SKU1039,08-06-22,933,7629.625186,254060
SKU1045,11-12-22,1099,7961.825419,259398
SKU1021,12-03-22,1199,5625.808678,231438
SKU1046,12/24/2022,1147,5152.457071,205840
SKU1034,01-09-21,1274,5489.729741,227679
SKU1037,3/27/2021,1351,7191.572553,298816
SKU1036,02-12-22,1195,5623.777701,270323
SKU1022,2/26/2022,921,3493.046714,237812
SKU1036,10/22/2022,912,3656.199933,224416
SKU1051,01-02-21,718,2666.365557,148913
SKU1017,02-06-21,448,1562.689014,61780
SKU1025,7/17/2021,483,1652.318862,67834
SKU1040,10/30/2021,491,1636.790631,70466
SKU1041,11/20/2021,787,2755.166912,135873
SKU1012,12/25/2021,497,2028.467693,110223
SKU1042,7/23/2022,388,1033.800468,49981
SKU1057,11-12-22,784,3067.483221,152583
SKU1017,8/28/2021,770,3456.306928,143505
SKU1023,10/23/2021,780,3406.114657,146000
