Page_traffic,Unit_price,Title_Count,Description_Length,Image_Count,month,1_Star_Rating,5_Star_Rating,2_Star_Rating,3_Star_Rating,Organic Search Rank,4_Star_Rating,online_cost_per_impression,num_unique_Search_Terms,average_rating,total_cost,total_clicks,num_unique_campaigns,Online_Impressions,Segment_Makeup,Online_Cost,Online_Clicks,video_cost_per_impression,Units_sold>1000
3260.0,24.70360481,67,125,11,8,82.0,1859,64.0,180,4.0,353,0.0,5.0,4.5,0.0,0.0,0,0,True,0.0,0.0,0.0,1
3729.0,22.22651449,126,221,8,6,31.0,180,15.0,41,22.0,42,0.0,10.0,4.1,0.0,0.0,0,0,True,0.0,0.0,0.0,1
2675.0,25.57446809,126,221,9,10,19.0,269,14.0,37,29.0,54,0.0,0.0,4.4,0.0,0.0,0,0,True,0.0,0.0,0.0,1
6281.0,20.97106481,77,98,0,3,25.0,532,18.0,62,18.0,107,0.01985570654279709,3.0,4.5,66632.689552,6661.0,4,133688,True,2654.489552,917.0,0.009701795595400388,1
131.0,20.09952607,140,139,16,1,23.0,559,21.0,45,18.0,91,0.0,0.0,4.5,0.0,0.0,0,0,False,0.0,0.0,0.0,0
5521.0,24.49926794,81,105,0,8,112.0,3236,75.0,209,27.0,463,0.03556556216834429,8.0,4.6,5784.062941,1346.0,4,162630,True,5784.062941,1346.0,0.0,1
856.0,20.90566038,125,221,3,5,25.0,675,24.0,58,11.0,113,0.0,0.0,4.6,0.0,0.0,0,0,True,0.0,0.0,0.0,0
2796.0,22.814116,117,209,9,4,65.0,1741,49.0,112,11.0,278,0.010115817395837431,8.0,4.6,2056.909846,763.0,2,203335,False,2056.909846,763.0,0.0,1
2341.0,17.51208285,165,158,0,8,29.0,1221,24.0,88,18.0,200,0.028768968509519998,4.0,4.6,4422.62476,956.0,2,153728,False,4422.62476,956.0,0.0,0
4242.0,25.70047393,91,54,8,10,15.0,0,0.0,0,28.0,0,0.019756845766246846,3.0,1.0,6593.076757500001,1666.0,5,333710,False,6593.076757500001,1666.0,0.0,1
2756.0,30.93792517,129,209,8,9,180.0,4325,128.0,335,34.0,695,0.020615740680559717,12.0,4.6,1306.811186,474.0,2,63388,False,1306.811186,474.0,0.0,1
1798.0,38.004656739999994,113,209,10,12,109.0,1744,69.0,194,18.0,299,0.03136349174037157,4.0,4.4,3351.032275,740.0,4,106844,True,3351.032275,740.0,0.0,0
5372.0,13.18043742,115,209,11,7,41.0,916,40.0,87,12.0,161,0.021969831927588584,5.0,4.5,2706.353746,658.0,2,123184,False,2706.353746,658.0,0.0,1
2790.0,19.94369548,70,127,11,4,0.0,0,0.0,0,32.0,0,0.022495243848077204,0.0,0.0,58333.047118,5361.0,4,88386,False,1988.287118,570.0,0.010541854962766111,1
1443.668011,17.78613569,91,62,12,4,45.0,457,36.0,67,9.0,89,0.0,2.0,4.3,0.0,0.0,0,0,False,0.0,0.0,0.0,0
1319.0,37.61686526,81,104,0,9,168.0,4281,118.0,338,24.0,719,0.0,8.0,4.6,0.0,0.0,0,0,False,0.0,0.0,0.0,1
3763.0,12.03125,81,57,5,12,76.0,2105,53.0,145,36.0,301,0.01751394690543821,13.0,4.6,1781.9215,439.0,4,101742,True,1781.9215,439.0,0.0,1
3506.0,20.04682779,113,209,13,11,72.0,1548,63.0,141,3.0,279,0.018939136412673648,1.0,4.5,114594.865724,11358.0,2,180752,False,3423.305724,1049.0,0.012052667150486772,1
1050.0,21.28395062,153,186,9,4,81.0,1993,56.0,149,12.0,299,0.0,7.0,4.6,0.0,0.0,0,0,False,0.0,0.0,0.0,0
4664.0,17.33944954,125,221,8,1,0.0,0,0.0,0,4.0,0,0.0,0.0,0.0,0.0,0.0,0,0,False,0.0,0.0,0.0,0
3142.0,21.42736077,81,56,5,5,0.0,0,0.0,0,31.0,0,0.009985176807996647,2.0,0.0,2550.284053,1295.0,2,255406,True,2550.284053,1295.0,0.0,0
7324.5,19.0495338,75,131,10,12,84.0,1857,51.0,111,21.0,287,0.02293863388187332,5.0,4.6,4613.876819,830.0,5,201139,True,4613.876819,830.0,0.0,1
2510.0,17.59834559,126,149,9,12,185.5,5093,135.5,374,21.0,766,0.022052765164632313,9.0,4.6,3082.226776,816.0,2,139765,False,3082.226776,816.0,0.0,1
64.0,21.28395062,87,63,8,8,15.0,0,0.0,0,30.0,0,0.0,5.0,1.0,102695.19,9880.0,0,0,False,0.0,0.0,0.012037634431919535,0
4908.0,9.186111111,115,209,11,11,58.0,1635,51.0,125,7.0,268,0.02477751805735985,2.0,4.6,62798.893116,5805.0,2,50034,False,1239.743116,426.0,0.009999826186456125,1
4655.0,35.27522195,79,100,0,8,185.5,5093,135.5,374,23.0,766,0.0276037577298996,13.5,4.6,5182.467495,1172.0,4,187744,True,5182.467495,1172.0,0.0,1
2741.0,22.3321492,85,123,7,1,57.0,523,36.0,53,45.0,100,0.0,0.0,4.3,61559.15,5379.0,0,0,True,0.0,0.0,0.009999826186456125,0
1966.0,19.98349057,70,127,11,4,0.0,0,0.0,0,32.0,0,0.018989760391748094,0.0,0.0,2532.303538,806.0,2,133350,False,2532.303538,806.0,0.0,1
